0,1,3.68937e+12
0,2,3.53948e+13
1,1,3.54605e+12
1,2,3.39777e+13
2,1,3.29823e+12
2,2,3.44724e+13
3,1,3.25055e+12
3,2,3.67487e+13
4,1,3.85071e+12
4,2,3.70297e+13
5,1,3.66004e+12
5,2,3.50199e+13
6,1,3.51027e+12
6,2,3.53055e+13
7,1,3.03342e+12
7,2,2.99294e+13
8,1,3.97673e+12
8,2,3.84633e+13
9,1,3.96428e+12
9,2,3.79752e+13
10,1,3.94775e+12
10,2,4.3002e+13
11,1,3.46647e+12
11,2,4.2294e+13
12,1,4.00192e+12
12,2,3.86908e+13
13,1,4.00259e+12
13,2,3.80059e+13
14,1,3.99303e+12
14,2,3.83051e+13
15,1,3.59835e+12
15,2,5.05448e+13
