0,1,1.66127e+12
0,2,6.55821e+12
1,1,1.59953e+12
1,2,6.34176e+12
2,1,1.48716e+12
2,2,5.44967e+12
3,1,1.40475e+12
3,2,6.08542e+12
4,1,1.13337e+12
4,2,4.55711e+12
5,1,1.18667e+12
5,2,4.84501e+12
6,1,1.96342e+12
6,2,8.60509e+12
7,1,1.95025e+12
7,2,1.00588e+13
8,1,1.50809e+12
8,2,6.25075e+12
9,1,7.88546e+11
9,2,3.13524e+12
10,1,2.78355e+11
10,2,1.06802e+12
11,1,1.57704e+12
11,2,7.18874e+12
12,1,1.81101e+11
12,2,6.87618e+11
13,1,2.64444e+11
13,2,1.02636e+12
14,1,9.24208e+11
14,2,3.16102e+12
15,1,2.50562e+12
15,2,1.90073e+13
